symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
MATICBTC,-0.00000034,-1.825,0.00001860,0.00001862,0.00001829,170794.70000000,0.00001828,33575.10000000,0.00001829,89225.50000000,0.00001863,0.00001884,0.00001827,1820501.60000000,33.86474432,1697476607895,1697563007895,76348820,76355066,6247
MATICUSDT,-0.00490000,-0.933,0.52795153,0.52530000,0.52040000,134.70000000,0.52040000,27878.10000000,0.52050000,24593.40000000,0.52530000,0.53590000,0.51710000,39014906.60000000,20597979.78515000,1697476610283,1697563010283,351377059,351425507,48449
ATOMBNB,-0.00046000,-1.490,0.03058269,0.03087000,0.03041000,7.60000000,0.03036000,16.56000000,0.03043000,31.06000000,0.03087000,0.03097000,0.03015000,3502.41000000,107.11311670,1697476596736,1697562996736,2895622,2895843,222
ATOMBTC,-0.00000760,-3.252,0.00023126,0.00023370,0.00022610,14.10000000,0.00022610,756.15000000,0.00022620,1.40000000,0.00023370,0.00023390,0.00022570,53348.41000000,12.33745489,1697476606377,1697563006377,35764392,35767436,3045
ATOMUSDT,-0.15700000,-2.381,6.53885868,6.59300000,6.43600000,19.15000000,6.43500000,172.73000000,6.43600000,584.24000000,6.59300000,6.65600000,6.37800000,1150240.72000000,7521261.52027000,1697476609497,1697563009497,186820863,186851594,30732
ATOMUSDC,0.00000000,0.000,0.00000000,12.91200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ATOMPAX,0.00000000,0.000,0.00000000,3.17800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ATOMTUSD,0.00000000,0.000,0.00000000,2.59800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ETCUSDC,0.00000000,0.000,0.00000000,4.71000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ETCPAX,0.00000000,0.000,0.00000000,4.83800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ETCTUSD,0.00000000,0.000,0.00000000,3.79500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BATUSDC,0.00000000,0.000,0.00000000,0.63130000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BATPAX,0.00000000,0.000,0.00000000,0.25560000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BATTUSD,0.00000000,0.000,0.00000000,0.22220000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
PHBBNB,0.00000000,0.000,0.00000000,0.00013700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
PHBBTC,-0.00000056,-2.750,0.00002043,0.00002038,0.00001980,104.50000000,0.00001978,970.30000000,0.00001987,327.60000000,0.00002036,0.00002079,0.00001964,141486.90000000,2.89012528,1697476607494,1697563007494,10174038,10175404,1367
PHBUSDC,0.00000000,0.000,0.00000000,0.00587000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
PHBTUSD,0.00000000,0.000,0.00000000,0.22900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
PHBPAX,0.00000000,0.000,0.00000000,0.00639000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
TFUELBNB,0.00000000,0.000,0.00000000,0.00012590,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
TFUELBTC,0.00000002,1.695,0.00000119,0.00000117,0.00000120,89537.00000000,0.00000119,429815.00000000,0.00000120,31989.00000000,0.00000118,0.00000123,0.00000116,2970793.00000000,3.54433205,1697476597791,1697562997791,16778920,16779946,1027
TFUELUSDT,0.00093000,2.802,0.03400697,0.03315000,0.03412000,531.00000000,0.03410000,413.00000000,0.03413000,1700.00000000,0.03319000,0.03500000,0.03278000,25965645.00000000,883012.78559000,1697476601367,1697563001367,44870492,44878471,7980
TFUELUSDC,0.00000000,0.000,0.00000000,0.00356500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
TFUELTUSD,0.00000000,0.000,0.00000000,0.00307700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
TFUELPAX,0.00000000,0.000,0.00000000,0.00348700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ONEBNB,-0.00000122,-2.803,0.00004217,0.00004358,0.00004231,548.00000000,0.00004226,2100.00000000,0.00004233,32789.00000000,0.00004353,0.00004375,0.00004054,2564081.00000000,108.11894529,1697476600615,1697563000615,4643438,4643773,336
ONEBTC,-0.00000002,-6.061,0.00000032,0.00000033,0.00000031,23237.00000000,0.00000031,9793775.00000000,0.00000032,4161310.00000000,0.00000033,0.00000033,0.00000031,5502745.00000000,1.76403876,1697476521973,1697562921973,18373155,18373393,239
ONEUSDT,-0.00035000,-3.763,0.00917102,0.00929000,0.00895000,22309.80000000,0.00894000,424625.10000000,0.00895000,20973.00000000,0.00930000,0.00938000,0.00890000,178865116.60000000,1640375.52198900,1697476607894,1697563007894,105817715,105828791,11077
ONETUSD,0.00000000,0.000,0.00000000,0.00472000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ONEPAX,0.00000000,0.000,0.00000000,0.00496000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
